max_dsa,max_backend,max_frontend,max_ml,max_uiux,mean_communication,min_availability,team_size,success
5,9,8,6,10,7.0,10,2,1
10,9,8,10,3,8.33,10,3,1
8,5,7,10,7,8.0,10,2,0
10,10,5,8,6,7.0,20,3,0
7,8,10,8,10,9.5,10,4,1
5,6,10,6,8,6.67,25,3,1
9,6,6,9,5,4.0,25,2,1
10,9,10,8,8,6.5,10,4,0
7,9,9,6,3,7.0,30,2,1
9,10,8,6,4,6.67,10,3,1
7,5,9,8,10,6.33,10,3,0
9,9,10,5,7,8.0,25,3,0
9,7,9,7,5,8.5,35,2,1
9,6,7,8,5,7.0,15,2,1
3,4,7,6,9,6.5,10,2,0
8,7,9,6,9,6.33,15,3,1
8,6,10,9,9,8.33,20,3,1
10,10,9,10,8,7.5,10,4,0
9,5,3,9,3,9.0,15,2,0
9,10,6,10,6,7.25,10,4,1
10,9,9,5,6,6.0,15,3,1
8,8,8,9,5,7.0,15,3,1
9,9,7,5,10,5.5,15,2,1
10,7,5,10,5,6.5,20,2,0
8,9,10,9,8,5.5,10,4,0
9,9,7,10,3,7.75,10,4,1
7,10,9,6,4,6.5,30,2,1
10,8,6,8,6,7.67,25,3,1
7,8,9,8,8,7.0,25,3,1
10,8,7,10,9,7.25,10,4,1
8,9,9,6,7,7.0,10,4,1
7,7,9,6,9,8.0,10,2,1
10,8,9,9,10,7.25,10,4,1
9,10,9,10,8,7.0,10,4,0
8,9,8,6,6,7.5,10,4,1
8,10,9,5,8,7.67,10,3,1
9,7,9,8,5,6.5,25,2,0
10,10,7,5,8,6.75,20,4,1
6,6,9,6,9,6.5,10,2,0
10,9,6,4,5,7.5,10,2,1
9,9,6,7,6,6.33,20,3,1
10,6,6,9,5,5.0,10,2,1
7,8,9,4,9,6.5,15,2,1
10,9,9,10,8,6.25,10,4,1
6,9,9,6,7,9.0,10,4,1
10,6,9,8,9,7.0,25,2,1
10,10,9,6,9,6.5,15,4,0
10,8,10,4,9,7.0,15,3,1
10,7,6,8,5,7.67,25,3,1
10,8,9,9,9,6.25,20,4,1
10,9,10,6,10,7.33,15,3,1
10,10,9,7,7,7.75,15,4,1
8,7,9,9,3,8.67,10,3,1
6,6,10,6,10,7.67,15,3,1
6,9,9,5,9,7.0,15,2,1
7,7,9,3,7,7.5,15,2,1
8,9,10,5,10,6.5,30,2,0
9,10,9,6,5,7.0,15,3,1
7,9,8,9,3,6.0,15,3,0
10,9,9,10,6,7.25,15,4,1
10,9,8,7,10,7.5,10,4,1
9,8,9,10,5,8.0,25,2,1
8,7,9,7,7,6.0,15,3,1
8,3,5,8,6,4.5,10,2,0
10,5,7,8,10,7.0,10,4,1
10,9,6,10,5,8.25,10,4,1
6,8,7,6,4,8.0,25,2,1
8,9,9,7,4,6.75,10,4,1
9,10,7,7,10,8.5,15,4,1
8,6,9,10,10,6.67,10,3,1
6,9,9,6,7,7.75,10,4,1
10,8,9,10,6,6.0,15,4,1
10,8,7,7,9,7.33,25,3,1
10,9,6,9,5,9.25,10,4,1
6,3,8,3,8,7.0,20,2,0
7,6,9,8,9,5.5,20,2,1
7,7,9,6,10,6.5,25,2,1
8,6,7,9,9,10.0,25,2,1
8,9,10,7,10,6.33,10,3,1
10,9,7,8,5,7.5,10,4,1
9,8,7,5,7,7.0,15,3,1
6,9,10,5,10,8.0,10,4,1
10,8,9,4,6,7.75,15,4,1
7,9,8,5,4,8.5,10,2,0
9,10,8,6,7,8.33,15,3,1
9,10,9,7,8,8.25,15,4,1
8,8,9,6,9,8.33,15,3,1
9,7,8,9,6,7.75,10,4,1
10,8,4,10,5,6.75,10,4,0
10,8,9,9,7,8.25,10,4,1
9,10,9,9,7,6.75,10,4,1
8,9,5,9,5,6.0,25,2,0
10,9,7,4,4,7.67,15,3,1
8,6,7,5,7,8.5,35,2,1
8,9,8,4,3,9.0,10,3,1
9,9,8,6,5,6.33,10,3,1
9,10,9,7,10,7.0,10,4,1
8,9,7,8,6,8.5,10,4,0
5,6,10,3,8,9.5,15,2,0
7,7,8,4,8,5.67,15,3,1
10,7,9,9,8,6.67,10,3,1
10,9,9,9,9,7.25,15,4,1
10,7,6,9,4,9.5,15,2,1
8,7,9,6,8,7.67,10,3,1
8,4,10,9,10,5.0,20,2,0
10,8,10,10,10,8.0,10,3,1
9,5,9,8,9,6.0,10,3,0
10,9,9,5,3,7.67,35,3,1
7,9,7,4,3,5.5,10,2,0
9,5,9,7,10,5.67,15,3,0
6,8,9,4,9,8.0,20,2,1
9,8,10,10,8,8.25,20,4,1
10,9,3,9,5,7.5,15,2,0
9,10,6,6,5,8.0,10,3,1
9,10,10,7,7,7.75,10,4,0
7,9,10,5,8,7.67,25,3,1
6,9,10,5,7,8.67,10,3,0
9,9,9,8,9,6.25,10,4,1
10,10,4,9,4,7.0,15,2,0
9,10,4,5,3,8.5,20,2,0
8,9,6,5,5,10.0,15,2,0
8,8,8,7,6,6.0,10,2,1
9,9,7,7,6,6.5,15,2,0
8,7,7,7,6,7.67,25,3,1
10,7,9,10,5,7.5,15,4,1
9,10,8,4,4,8.0,20,2,1
10,9,9,9,7,7.0,10,4,1
10,8,10,5,10,7.5,10,4,1
7,6,7,9,8,5.5,20,2,1
9,8,8,8,5,6.0,10,3,1
10,9,6,10,5,6.0,15,3,1
8,8,8,6,7,7.5,10,4,1
10,9,7,5,8,6.0,15,2,1
9,8,9,6,8,6.67,15,3,1
10,7,6,7,5,8.5,15,2,1
8,9,7,6,7,6.0,20,2,1
10,9,8,5,5,9.67,15,3,1
8,4,7,9,8,6.5,20,2,0
6,4,10,6,10,5.0,20,2,0
9,10,8,6,4,6.67,15,3,1
10,8,9,8,9,7.0,20,4,1
10,10,8,6,9,7.0,20,2,0
6,6,10,5,9,7.0,10,4,1
7,9,8,10,8,6.25,15,4,1
6,9,10,4,7,4.0,25,2,0
8,10,8,4,5,7.33,25,3,0
10,6,8,10,4,4.33,10,3,0
8,8,7,3,10,10.0,20,2,1
10,8,9,10,6,5.67,15,3,1
9,10,9,6,7,7.67,20,3,0
7,9,9,5,8,8.5,10,4,0
9,6,10,10,9,9.25,25,4,1
10,9,9,9,7,6.75,15,4,1
8,10,5,8,6,6.67,15,3,0
10,9,8,9,9,8.25,10,4,0
5,6,8,6,8,4.5,15,2,1
10,9,8,4,4,8.0,15,4,0
10,10,9,6,9,7.67,15,3,1
10,9,8,5,5,6.67,10,3,1
9,10,7,7,10,9.0,10,4,1
7,9,10,10,7,7.0,30,4,0
7,7,7,6,6,8.5,20,2,1
9,7,8,10,4,8.0,10,2,1
7,4,8,10,9,5.33,10,3,1
8,8,9,7,5,6.5,10,4,1
9,10,8,10,9,9.0,15,4,1
8,9,7,4,5,6.0,30,2,1
9,8,8,7,5,8.33,15,3,0
8,8,10,6,10,6.0,10,4,0
9,8,7,8,5,7.5,25,4,1
9,10,10,10,8,8.0,15,4,1
6,8,10,4,8,7.67,20,3,1
9,8,9,6,5,6.75,10,4,0
10,6,4,9,5,9.5,15,2,0
7,8,9,8,7,6.67,10,3,1
9,5,6,10,5,6.5,25,2,1
6,6,10,6,10,4.0,10,3,0
8,9,10,5,10,5.67,30,3,1
8,4,8,7,7,5.5,25,2,0
8,8,6,6,5,10.0,10,2,1
8,9,10,9,10,8.5,10,4,1
10,10,4,4,4,9.5,20,2,0
9,9,8,10,6,7.0,10,3,1
10,8,9,5,6,7.25,15,4,1
6,8,8,2,9,7.0,15,2,1
10,10,4,7,5,7.67,25,3,0
8,7,10,5,7,9.0,10,2,1
9,7,10,7,10,5.33,20,3,0
8,10,8,6,8,8.0,25,3,1
7,8,9,5,8,8.0,15,3,0
8,10,9,6,8,7.75,10,4,1
8,6,10,10,9,5.0,20,3,1
9,10,4,7,4,7.0,10,2,0
10,9,9,5,9,7.0,10,3,1
10,10,10,6,9,7.75,10,4,0
10,9,9,5,5,8.25,20,4,1
5,6,8,6,9,4.67,15,3,1
9,6,8,8,5,5.5,25,2,1
8,6,9,6,9,5.0,20,3,1
6,8,9,5,9,8.25,10,4,1
8,9,9,8,6,6.0,10,3,1
9,7,7,7,5,8.5,20,2,1
10,9,7,7,8,6.75,10,4,1
9,9,10,6,7,8.75,10,4,1
10,9,8,6,6,6.5,20,4,0
10,9,9,9,8,6.67,15,3,1
10,9,8,7,9,6.75,10,4,1
7,8,8,10,9,6.0,15,4,1
10,5,7,8,7,4.5,30,2,0
10,9,10,5,7,4.0,25,2,1
7,7,10,6,10,5.0,10,3,0
10,9,8,9,6,8.0,10,4,1
10,6,9,10,9,7.0,10,4,1
8,8,8,4,7,6.5,25,2,0
8,8,7,10,3,9.0,10,4,0
9,6,8,9,4,5.67,15,3,0
8,8,9,10,9,7.75,15,4,1
7,6,9,8,9,5.5,10,4,1
10,10,6,10,6,5.5,15,2,1
8,8,8,9,7,7.0,15,3,1
8,9,8,4,5,5.75,20,4,0
10,8,6,10,5,6.67,10,3,0
10,10,10,6,9,6.0,15,2,1
10,10,7,7,10,7.5,20,4,1
7,9,6,9,3,7.0,35,2,1
8,9,9,5,6,5.0,15,2,1
10,8,6,7,6,8.5,10,2,1
9,8,7,7,5,7.0,20,2,1
6,8,10,3,7,4.67,15,3,1
10,9,9,8,6,6.5,25,4,0
10,9,7,5,9,8.67,10,3,1
4,5,9,6,9,6.0,15,3,0
7,10,4,8,5,6.0,30,2,1
8,8,8,6,10,5.5,10,2,1
6,9,8,6,3,7.0,30,2,1
10,5,8,10,9,4.5,20,4,0
10,8,6,10,5,7.25,10,4,0
8,8,7,4,8,7.0,20,2,0
8,6,8,10,9,5.33,30,3,1
9,9,8,6,9,4.5,15,2,0
6,7,9,6,9,7.0,30,3,1
9,10,9,10,8,6.25,15,4,1
9,10,6,4,5,8.33,15,3,1
10,3,4,9,4,7.0,10,2,0
9,10,9,6,9,5.33,20,3,0
7,9,5,7,5,6.0,35,2,0
8,10,10,6,9,7.5,15,4,1
5,6,10,3,7,7.33,20,3,1
9,6,4,8,5,8.67,25,3,0
10,7,9,9,9,6.5,10,4,1
10,5,10,9,10,5.0,10,2,0
5,3,8,6,10,5.5,10,2,0
10,8,7,6,7,7.33,20,3,0
9,4,9,8,9,4.33,10,3,0
8,9,9,6,6,5.5,20,2,1
8,8,8,8,6,5.5,10,2,0
8,10,10,6,8,7.5,15,4,1
7,9,9,8,8,6.0,10,4,1
10,7,7,8,6,7.0,15,3,1
10,8,5,10,6,6.0,10,4,0
10,6,6,9,5,6.0,10,4,0
10,8,7,10,5,8.0,15,3,1
10,9,8,6,10,6.25,10,4,1
10,9,4,10,6,6.5,15,2,1
8,8,9,8,5,7.67,15,3,1
10,7,3,7,5,8.0,25,2,0
10,9,7,9,5,6.33,10,3,1
10,10,10,7,10,7.5,10,4,1
9,6,5,9,5,8.0,25,3,0
10,9,3,10,5,8.0,15,2,0
10,6,10,7,10,7.0,10,3,1
7,8,7,3,3,9.5,15,2,1
6,5,10,6,10,7.0,10,2,0
8,7,4,7,3,7.0,15,2,0
10,3,4,10,5,8.5,10,2,0
10,10,5,10,4,5.0,15,3,0
8,9,6,8,6,8.0,10,3,0
10,8,9,10,5,7.67,10,3,1
10,9,6,9,6,7.75,15,4,1
10,9,10,9,10,6.5,15,4,1
10,8,9,8,6,6.25,10,4,1
6,8,8,3,5,7.0,15,2,1
10,7,9,8,6,6.75,10,4,1
8,7,7,10,7,6.25,10,4,1
8,7,10,7,8,7.0,10,4,1
7,5,8,8,9,7.33,10,3,0
7,6,9,8,9,7.33,10,3,1
5,2,8,6,7,5.5,25,2,0
8,9,10,6,9,7.25,10,4,1
9,8,8,8,5,5.67,10,3,0
10,9,8,6,9,6.67,20,3,0
10,6,9,9,8,7.0,10,3,1
8,6,4,9,4,4.5,10,2,0
10,6,5,10,6,6.67,10,3,1
9,9,8,7,5,10.0,35,2,1
10,6,7,9,4,7.5,20,2,1
10,8,6,9,5,7.25,10,4,1
9,6,10,10,8,8.33,20,3,1
10,9,7,5,2,7.0,15,2,1
7,4,9,10,9,6.0,15,2,0
7,5,8,10,9,8.0,25,2,0
5,6,9,6,10,6.75,20,4,1
10,8,4,10,5,7.0,15,2,1
10,9,9,6,9,7.33,10,3,1
10,8,7,9,6,5.67,15,3,0
10,9,5,8,5,7.5,25,2,0
9,9,9,5,5,5.75,10,4,0
5,7,9,6,7,8.5,10,2,0
6,6,9,6,8,6.5,10,2,1
10,10,4,7,3,6.33,15,3,0
10,8,6,9,5,9.33,15,3,0
8,6,10,6,8,8.33,15,3,0
10,9,9,10,4,6.0,25,3,1
7,8,9,4,5,7.0,25,2,1
8,4,9,9,10,5.67,10,3,0
10,7,6,7,5,8.33,10,3,1
8,8,8,2,10,5.5,15,2,0
10,9,6,10,6,7.25,15,4,1
9,7,9,10,8,6.0,10,4,1
9,9,9,10,7,7.5,10,4,0
10,9,7,8,9,7.75,20,4,1
7,10,9,6,7,5.5,10,4,0
10,9,6,10,5,6.67,15,3,0
10,10,9,9,6,8.33,15,3,1
10,10,5,6,5,8.33,15,3,1
10,9,5,8,6,4.0,10,2,1
7,8,7,9,9,6.75,20,4,1
9,8,9,7,8,7.5,15,4,1
8,6,9,6,9,6.5,20,4,1
8,8,8,5,9,9.5,25,2,1
8,4,7,10,9,6.5,10,2,0
9,10,8,6,4,9.0,10,2,0
8,9,8,6,6,7.5,15,2,1
10,9,8,9,4,8.33,15,3,1
6,5,10,5,10,7.0,10,2,0
8,6,7,10,6,7.0,20,2,1
8,8,9,9,3,6.33,15,3,1
10,9,8,6,9,5.0,15,3,0
8,9,8,7,9,6.67,15,3,1
9,9,8,7,9,8.0,10,4,1
7,5,5,10,6,7.5,10,2,0
8,6,10,10,9,7.0,25,4,1
8,9,9,6,9,8.0,15,3,1
10,6,6,10,6,7.5,15,4,1
7,8,9,5,9,7.0,10,3,1
10,4,7,10,8,6.33,20,3,0
